Book, Verse , Lemma                                                                                                                                                                                                                                                                   , Witness                  , Source                     , Ed. Comment                                                                                                        , Gen. Comment , Second R.                       , Witness                 , Source             , Comment                                                                                  , Third R.                               , Witness         , Source   , Comment                                                                                 , Fourth R.               , Witness        , Source                    , Comment                                                  , Fifth R.         , Witness  , Source , Comment , Sixth R.         , Witness , Source  , Comment                                                                                              , Seventh R. , Witness , Source , Comment                                                                   
10,303, densetur                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , **F** *Pa Pc N U *     ,,,, densatur                                                                                                                                                                                                                                                  , **?** ? *W *       ,, *(cf. Serv. ad A. 7.794*)                                                                                                                                                                           ,,,,,,,,,,,,,,,,,,,,
10,303, vocatur                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , **F ?**                ,,,, appellatur                                                                                                                                                                                                                                                , *U *               ,,,,,,,,,,,,,,,,,,,,,,
10,303, ????(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,, *Murgia*                     ,,, oina                                                                                                                                                                                                                                                      , *F *               ,,, oin                           , *G *         ,,, ???                  ,, *Dan.*                  ," (??? *noster scribere debuit; sed videtur Compilator male conflasse antiquum commentum* quod Graeci ???? dicunt, *vel sim*.)                     ",,,,,,,,,,,,
10,303, ???? ???? ????????????? ????????                                                                                                                                                                                                                                                                                                                                                                                                                                            ,, *Hom*.                       ,,, ?a?aCn?? ?aC?C???C?C                                                                                                                                                                                                                                      , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,304, sustentat                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,, *Verg.*                      ,,, rustentat                                                                                                                                                                                                                                                 , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,304, ????????????                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,, *Schoell*                    , (*in app. Thilonis*)                                                                                                                                                                     ,, a???????Ca                                                                                                                                                                                                                                                , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,304, vel                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,, *Dan*.                       ,,, ve                                                                                                                                                                                                                                                        , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,304, cum*(1)*                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , *F *                   ,,,, dum                                                                                                                                                                                                                                                       , *T v *             ,,,,,,,,,,,,,,,,,,,,,,
10,304, Melissus                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,, *Thilo*                      ,,, melis                                                                                                                                                                                                                                                     , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,304, nutaret                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,, *Masv.*                      ,,, mutaret                                                                                                                                                                                                                                                   , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,304, subaudis                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , *Fh2* **?**            ,,,, subaudes                                                                                                                                                                                                                                                  , **F**              ,,,,,,,,,,,,,,,,,,,,,,
10,304, nominativus est singularis                                                                                                                                                                                                                                                                                                                                                                                                                                                  , **?**                  ,,,, singularis est nominatiuus                                                                                                                                                                                                                                , **F**              ,,,,,,,,,,,,,,,,,,,,,,
10,305, in undis                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , **?**                  ,,,, *om*.                                                                                                                                                                                                                                                     , **F**              ,,,,,,,,,,,,,,,,,,,,,,
10,306, FrAgminA                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,, *Verg.*                      ,,, framina                                                                                                                                                                                                                                                   , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,310, *schol.*                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , **?**                  ,, *schol. ad 310 post schol. ad 311*                                                                                                                                                       ,, *schol.*                                                                                                                                                                                                                                                  , **F**              ,, mg. *dex (schol. ad 311 mg. sin.*)                                                                                                                                                                  ,,,,,,,,,,,,,,,,,,,,
10,310, invAsit                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , **?**                  ,,,, inuadit                                                                                                                                                                                                                                                   , **F**              ,,,,,,,,,,,,,,,,,,,,,,
10,310, AgrEstEs                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , **F** ? *Pa* **?**     ,,,, AgrEstEr                                                                                                                                                                                                                                                  , *Q *               ,,,,,,,,,,,,,,,,,,,,,,
10,310, latos                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , **?**                  ,,,, laetos                                                                                                                                                                                                                                                    , **F**              ,,,,,,,,,,,,,,,,,,,,,,
10,311, omni                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , **?** ? *W *           , **D** *ad A. 1.456*          ,,, omnibus                                                                                                                                                                                                                                                   , **F**              ,,, nominibus                     , *N U *       ,,, omine                ,," *Gerlach* (*1831, 125)* "," (*nec recte dicit Thilo* omine *legere A , Lips*.)                                                                                               ",,,,,,,,,,,,
10,311, ideo ergo                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , **?**                  ,,,, ergo ideo                                                                                                                                                                                                                                                 , **F**              ,,, ideo go                       , *Q *         ,,,,,,,,,,,,,,,,,,
10,311, vincet                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , **?**                  ,,,, uincit                                                                                                                                                                                                                                                    , **F** ?            ,,,,,,,,,,,,,,,,,,,,,,
10,312, hoc                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , **?**                  ,,,, hic                                                                                                                                                                                                                                                       , **F**              ,,,,,,,,,,,,,,,,,,,,,,
10,312, Pindaro                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , **F ?**                ,,,, pindare                                                                                                                                                                                                                                                   , *N U *             ,,,,,,,,,,,,,,,,,,,,,,
10,312, victum                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , *T *                   ,,,, asuictum                                                                                                                                                                                                                                                  , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,314, squalentem auro                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,, *Verg.*                      ,,, squalentum auras                                                                                                                                                                                                                                          , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,314, visuntur                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,, *Gell*. *Macr*.              ,,, uisunt                                                                                                                                                                                                                                                    , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,314, pellis                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,, *Verg.*                      ,,, pelli                                                                                                                                                                                                                                                     , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,314, plumam                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,, *Verg.*                      ,,, plumum                                                                                                                                                                                                                                                    , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,314, tegebat                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,, *Verg.*                      ,,, tegerebat                                                                                                                                                                                                                                                 , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,314, rutilum                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,, *Verg.*                      ,,, rutulum                                                                                                                                                                                                                                                   , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,314, squamis*(2)*                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,, *Verg.*                      ,,, quammis                                                                                                                                                                                                                                                   , *F *               ,,,,,,,,,,,,,,,,,,,,,,
10,314, inculcatum                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,, *Gell*. *Macr*. Non.         ,,, incultatum                                                                                                                                                                                                                                                , *F *               ,,, incultum                      ,, Fest.      ,,,,,,,,,,,,,,,,,
10,314, erat                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , *F *                   ,,,," erat, ut incuteret visentibus facie nova horrorem, id                                                                                                                                                                                                     ",, *Gell*. *Macr*.  ,,,,,,,,,,,,,,,,,,,,,
10,314, ferit modo                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , **?**                  ,,,, modo ferit                                                                                                                                                                                                                                                , **F**              ,,,,,,,,,,,,,,,,,,,,,,
10,314, significat                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , **?**                  ,,,, s                                                                                                                                                                                                                                                         , **F**              ,, (=sed)                                                                                                                                                                                              ,,,,,,,,,,,,,,,,,,,,
10,314," non nudum latus, sed quod aperuerat; et putatur hysteroproteron                                                                                                                                                                                                                                                                                                                                                                                                             ",,," *ad lemma* ApErtvm *pertinent, inepte cum Servio coniunxit Compilator*                                                                                                                   ",,,,,,,,,,,,,,,,,,,,,,,,,
10,314, militarem                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,, *Schoell*                    , (*in app. Thilonis*)                                                                                                                                                                     ,, italicam                                                                                                                                                                                                                                                  , *F T *             ,,,,,,,,,,,,,,,,,,,,,,
10,314, haurit                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , *Fh2 *                 ,,,, orto                                                                                                                                                                                                                                                      , *F *               ,, *ut v id*.                                                                                                                                                                                          ,,,,,,,,,,,,,,,,,,,,
10,316, omnes                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , **F ?**                ,,,, qm                                                                                                                                                                                                                                                        , *N U *             ,, (=quoniam)                                                                                                                                                                                          ,,,,,,,,,,,,,,,,,,,,
10,316, ideo*(1)*                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , ? **?**                ,,,, deo                                                                                                                                                                                                                                                       , ? *W *             ,,, ide                           , *Pb *        ,,, *om*.                , **F**     ,,,,,,,,,,,,,,
10,316, Aesculapius eius                                                                                                                                                                                                                                                                                                                                                                                                                                                            , **F** *A Pah2 E Y *    ,,,, sculapius eius                                                                                                                                                                                                                                            , *Q Pb W *          ,,, et scolapii                   , *N *         ,,, escolapii            , *U *      ,,, *varie*                , *O Pa * ,,,,,,,,,,
10,316, eum                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , **?**                  ,,,, cum esset                                                                                                                                                                                                                                                 , **F**              ,,, *om.*                         , *Pc *        ,,,,,,,,,,,,,,,,,,
10,316, procreatum                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , **F ?** ? *W *         ,,,, *om.*                                                                                                                                                                                                                                                     , *N U *             ,,,,,,,,,,,,,,,,,,,,,,
10,316, ut*(1)*                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , **DS**                 , *Murgia*                     ,,, ium ut                                                                                                                                                                                                                                                    , *F *               ,, (*hoc loco autem Compilator verba Servii prave mutavit; quae omnia ex mendo* ‘cum’ *pro* ‘eum’ *exorta sunt*)                                                                                       ,,,,,,,,,,,,,,,,,,,,
10,316, qui*(2)*                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , **F** *O* ? **?**      ,,,, *om*.                                                                                                                                                                                                                                                     , *A W *             ,,,,,,,,,,,,,,,,,,,,,,
10,316, de eorum                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , **F** ? **?**          ,,,, de deorum                                                                                                                                                                                                                                                 , *Q W *             ,,,, deorum       , *Pb *      ,,,,,,,,,,,,,,,,,
10,316, fuit                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , **F ?**                ,,,, fuit qui                                                                                                                                                                                                                                                  , *W *               ,,,,,,,,,,,,,,,,,,,,,,
10,316, etiam*(2)*                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , **?**                  ,,,, etiam et                                                                                                                                                                                                                                                  , **F**              ,, *ergo* et *tantum* **DS**                                                                                                                                                                           ,,,,,,,,,,,,,,,,,,,,
10, 316a , omnes                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , **F ?**                ,,,, qm                                                                                                                                                                                                                                                        , *N U *             ,, (=quoniam)                                                                                                                                                                                          ,,,,,,,,,,,,,,,,,,,,
10, 316a , ideo*(1)*                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , ? **?**                ,,,, deo                                                                                                                                                                                                                                                       , ? *W *             ,,, ide                           , *Pb *        ,,, *om*.                , **F**     ,,,,,,,,,,,,,,
10, 316a ," sunt Apollini consecrati quia deus est medicinae, per quam lucem sortiuntur: unde Aesculapius eius fingitur filius; ita enim eum procreatum supra (7.761) diximus. Caesarum etiam familia ideo sacra retinebat Apollinis quia qui primus de eorum familia fuit, exsecto matris ventre natus est, unde etiam Caesar dictus est: licet varia de etymologia huius nominis                                                                                                      ", **?**                  ,,,," apollini consecrati sunt quia medicinae deus est per quam sortiuntur lucem...eius fictus est filius; ita enim cum esset procreatum ium, ut supra diximus, Caesarum...ideo Apollinis sacra retinebat quia...etiam et Caesar...de huius nominis ethimologia ", **F**              ,," **(**ium et etiam *omitti debet*; *in quibus videmus quem ad modum verba Servii Compilator inepte mutaverit; nam cum pro* eum *in suo codice* cum *invenisset*, cum esset procreatum ut *scripsit*) ",,,,,,,,,,,,,,,,,,,,
10, 316a , Aesculapius eius                                                                                                                                                                                                                                                                                                                                                                                                                                                            , **F** *A Pah2 E Y *    ,,,, sculapius eius                                                                                                                                                                                                                                            , *Q Pb W *          ,,, et scolapii                   , *N *         ,,, escolapii            , *U *      ,,, *varie*                , *O Pa * ,,,,,,,,,,
10, 316a , procreatum                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , **F ?** ? *W *         ,,,, *om.*                                                                                                                                                                                                                                                     , *N U *             ,,,,,,,,,,,,,,,,,,,,,,
