Book, Verse , Lemma                                                                                                                                                                                                                                                                   , Witness                  , Source                     , Ed. Comment                                                                                                        , Gen. Comment , Second R.                       , Witness                 , Source             , Comment                                                                                  , Third R.                               , Witness         , Source   , Comment                                                                                 , Fourth R.               , Witness        , Source                    , Comment                                                  , Fifth R.         , Witness  , Source , Comment , Sixth R.         , Witness , Source  , Comment                                                                                              , Seventh R. , Witness , Source , Comment                                                                   
10,13, qua*(1)*                                                                                                                                                                                                                                                                , *T *                     ,,,, qui                             , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, transiit                                                                                                                                                                                                                                                                , *T *                     ,,,, transit                         , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, ad                                                                                                                                                                                                                                                                      , *T *                     ,,,, ab                              , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, asdrubal                                                                                                                                                                                                                                                                , *T *                     ,,,, hasrubal                        , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, quinta                                                                                                                                                                                                                                                                  , *T *                     ,,,, quinea                          , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, a Graecis                                                                                                                                                                                                                                                               , *T *                     ,,,, e gretis                        , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, est quae                                                                                                                                                                                                                                                                , *T *                     ,,,, est qui                         , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,13, Graiae                                                                                                                                                                                                                                                                  , *T *                     ,,,, graicie                         , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,14, rEs                                                                                                                                                                                                                                                                     , **?**                    ,,,, Tum res                         , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,14, clarigationem                                                                                                                                                                                                                                                           , **F** º                  ,,,, clarigatione                    , ? *Q *                  ,,, claricationem                          , *Ah2 *          ,,,,,,,,,,,,,,,,,,
10,14, fetiales                                                                                                                                                                                                                                                                , **?**                    ,,,, fatales                         , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,14, indicere                                                                                                                                                                                                                                                                , **?**                    ,,,, inducere                        , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,14, rapinae                                                                                                                                                                                                                                                                 , *T *                     ,,,, rapineae                        , *F *                    ,,,,,,,,,,,,,,,,,,,,,,
10,14, Marcius                                                                                                                                                                                                                                                                 ,, *edd*.                     ,,, marcus                          , **F** *Pah2 Pb N *      ,,, mancus                                 , **?**           ,,,,,,,,,,,,,,,,,,
10,14, amore                                                                                                                                                                                                                                                                   , **?**                    ,,,, amorte                          , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,14, et*(1)*                                                                                                                                                                                                                                                                 , **F ?**                  , *seclusi*                  ,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14, bella gentibus                                                                                                                                                                                                                                                          , **?**                    ,,,, gentibus bella                  , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,14, creari                                                                                                                                                                                                                                                                  , ?                        ,,,, procreari                       , **F** *Pah2 Pc *        ,,, recreari                               , ? ? [**?**]   ,,, gravia creari           , *W N *         ,,,,,,,,,,,,,,
10,14, iura                                                                                                                                                                                                                                                                    , **?**                    ,,,, aura                            , **F**                   ,,, iuram                                  , *Q *            ,,,,,,,,,,,,,,,,,,
10,14, indicebatur                                                                                                                                                                                                                                                             , **?**                    ,,,, indicebantur                    , **F** *N *              ,,, inducebatur                            , *W *            ,,,,,,,,,,,,,,,,,,
10,14, hoc*(1)*                                                                                                                                                                                                                                                                , **?**                    ,,,, ac                              , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,14, Livius                                                                                                                                                                                                                                                                  , **?**                    ,,,, libias                          , **F**                   ,,, a livius                               , *N *            ,,,,,,,,,,,,,,,,,,
