Verse,Line,Lemma,Witness,Source,Ed. Comment,Gen. Comment,Second R.,Witness,Source,Comment,Third R.,Witness,Source,Comment,Fourth R.,Witness,Source,Comment,Fifth R.,Witness,Source,Comment,,,,,,,,,,,,,
187,,in vigiliis,Γ ,,,,vigilis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,RVTVLOS,F ,,,,r.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,H ... .R.,Γ ,,,,et reliqua,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,videatur,,Dan.,,,videtur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,fidutiam,G ,,,,fudutiam,F ,,sic,,,,,,,,,,,,,,,,,,,,,,,,,
188,,dabatur,,Dan.,,,dalat',F ,,"(i.e., dalatur)",,,,,,,,,,,,,,,,,,,,,,,,,
189,,VINOQVE,F Γ ,,,,vinoque sepulti,γ,,(cf. Serv. ad A. 3.41 quod tamen ad 9.236 refer),,,,,,,,,,,,,,,,,,,,,,,,,
190,,aut ... expletiva,F Pc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,nunc,,Murgia,,,num,F ,,,om.,Pc ,,,,,,,,,,,,,,,,,,,,,,,
192,,Troianos,Γ ,,,,troanos,F ,,,romanos,Pa ,,,,,,,,,,,,,,,,,,,,,,,
192,,solet,Γ ,,,,sola,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,iubebat,Γ ,,,,iuebat,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,vacat,θ º ,,,,uocat,F Q ,,(quod cum antiqua orthographia congruit),,,,,,,,,,,,,,,,,,,,,,,,,
193,,reportare,F,,,,reportent,,Thilo,fort. (sed verisimile est hoc scholium ad lemma QVI REPORTENT pertinere),,,,,,,,,,,,,,,,,,,,,,,,,
194,,PROMITTVNT,F ,,,,p.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,cum precibus,Γ ,,,,precibus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,Euryalum,Γ ,,,,de uryalum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,facti,G ,,(e Verg.),,factia,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,ut(1),,Dan.,,,aut ut,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,caedis,T v,,,,caedi,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,quod ipse dicit,F ,,,,dixit,T v,,(fort. secludendum quia ex di- exortum sit),,,,,,,,,,,,,,,,,,,,,,,,,
198,,dine,T v,,,,ne,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,mentibus addunt,v,,,,et reliqua,F T ,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,et extremum,Γ ,,,,aut extremum,F ,,,extremum,W ,,,,,,,,,,,,,,,,,,,,,,,
199,,re dubia,Γ ,,,,rebus dubiis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,a belli,F W ,,,,ab illis,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,quem,Γ ,,,,qua est,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,a coepto,,Dan.,,,accepto,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,decennium,,Dan.,,,decendum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,ET … SECVTVS,,Thilo,(e Verg.),,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,LVCIS CONTEMPTOR,F ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,sit,Γ ,,,,om.,F ,,(sed add. ss.),,,,,,,,,,,,,,,,,,,,,,,,,
205,,id est in,Γ ,,,,est im,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,BENE,F W ,,,,b.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,CREDAT EMI,,Verg.,,,credite mi,F ,,,c. e.,Γ ,,,,,,,,,,,,,,,,,,,,,,,
206,,Q. T.,Γ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,HAEC,Γ ,,,,Haec aspicit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,si ... tali,,construxi,sic,,Si ... adversum et reliqua,F ,,,quae ... tali,,Thilo,,,,,,,,,,,,,,,,,,,,,,
214,,hic,F Γ ,,,,om.,θ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,alii iungunt,F Γ ,,,,om.,θ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,solita(1),F Ah2 Pa Pc,,,,solito,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,sit,F ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,commendet,Γ ,,,,commendat,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,aut,F ,,,,autem,Γ ,,ante fortuna in seqq,om.,v,seclusi,cf. Thilo in app. et mea commenta in app. superiore,,,,,,,,,,,,,,,,,,,,,
214,,mandari,F ,,,,commendari,v,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,solita(2),,Murgia,,,om.,F Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,rara,,Stat.,,,aura,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,INFERIAS,F Pa Pc γ ,,,,infer.,Q [Γ ],,,inferat,θ σ ,,,,,,,,,,,,,,,,,,,,,,,
216,,periclitatur,,Dan.,,,pariclitator,F ,,,periclitabatur,T ,,,,,,,,,,,,,,,,,,,,,,,
217,,MATRIBVS,Γ ,,,,matribus ausa,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,dictae,,,ex hoc verbo recipit U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,more,Γ ,,,,morte,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,NEC,,Dan.,(e Verg.),,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,hunc,Γ ,,,,huno,F ,,,hoc,,Fabr.,,,,,,,,,,,,,,,,,,,,,,
219,,locum esse interrupta oratione,F Γ ,,,,locum esse interruptum oratione,Pa Pc,,,loco esse interruptam orationem,,Fabr.,,,,,,,,,,,,,,,,,,,,,,
221,,EXCITAT,F Ah2 Pa Pc Pb ,,,,excitant,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,iunctim,T ,,,,iunctum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,ut,T ,,,,et,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,est alias,Γ ,,,,alia,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,regis,Γ ,,,,id est regis,F (=DS),,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,ut,Γ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,SVMMIS,F Γ ,,,,s.,θ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,R. D. R. H.,Γ ,,,,om.,F N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,consilium,Γ ,,,,consiliis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,ut festinandum ... differendum,F Pc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,quasi,,Dan.,,,qŝ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,facies,F ,,,,facies est,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,diuturna,F ,,,,diurna,Γ ,,,diurno,Q ,,,,,,,,,,,,,,,,,,,,,,,
230,,campi(1),F θ Pa Pc Ec Pb σ ,,,,campis,Q E Y ,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,spatio,F Pc ,,,,statio,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,adferre (2o),Γ ,,,,habere,F (=DS),,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,ergo,F Γ ,codd. Terentii et Donati plerique,Serv. ad A. 12.352,,Murgia,,edd. Terentii aliquot cod. V Donati,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,mittamus,F A ,,,,mittamur,Γ ,,,mittatur,Ot.,,,,,,,,,,,,,,,,,,,,,,,
232,,sic,Γ ,,,,sit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,diximus,F Γ ,seclusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,multum,,Dan.,,,multos,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,ἀγωνιῶντας,,Thilo,,,AΤΟΝΙΟΝΤΑϲ,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,possumus,,Dan.,,,possum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,quod,,Dan.,,,quid,F,,fort. quia,,,,,,,,,,,,,,,,,,,,,,,,,
235,,HAEC,Γ ,,,,haet,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,SPECTENTVR,Pc,Verg.,DS ante autem in seqq.,,spectetur,NU,,.,expectentur,Pa ,,,esset,Γ ,,,om.,F W ,,,,,,,,,,,,,,,
235,,de aetate,Γ ,,,,dea et a,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,dubitari,Γ ,,,,dubitare,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,persona,Γ ,,,,personam,F N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,ad id,T ,,,,adit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,patet,Fh2 T v,,,,petet,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,nuntiat,,Dan.,,,nuntiet,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,auctoritate,,Dan.,,,auctoritatem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,socio,,Thilo,,,scio,F ,,(sed cf. Serv. ad 243),,,,,,,,,,,,,,,,,,,,,,,,,
238,,necessarie,F ,,,,necessario,T ,,,necessaria,v,,,,,,,,,,,,,,,,,,,,,,,
238,,addidit,F ,,,,addit,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,ut,Pa Pc γ ,,,,et ut,Γ ,,,ut et,F Ah2 W N ,,,,,,,,,,,,,,,,,,,,,,,
238,,Laurolavinati hinc,Γ ,,,,lauronaunati hunc,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,dicit,Γ ,,,,dixit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,post,Γ ,,,,pt,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,murorum,,Dan.,(e Verg.),,om.,F Γ ,,(sed cf. Serv. ad A. 7.31),,,,,,,,,,,,,,,,,,,,,,,,,
238,,in ... sinistra,F Pc ,,,,om.,Γ ,,,in partem sinistra,Pa ,,,,,,,,,,,,,,,,,,,,,,,
238,,amni,Γ ,,,,amnia,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,aliter,Γ ,,,,aliter ait,F (=DS),,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,QVAESITVM AENEAN,,inserui,e Verg.,,om.,F ,,(nam hoc commentum inepte cum Servio [240] coniunxit Compilator),,,,,,,,,,,,,,,,,,,,,,,,,
241,,Aenean (1o),,Dan.,,,aeream,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,caede ... cernetis,,Dan.,(e Verg.),,et reliqua,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,referat,F Ah2 Pa Pc Pb ,,,,referebat,Γ ,,,referet,σ ,,,,,,,,,,,,,,,,,,,,,,,
242,,posset,F Γ ,,,,possit,σ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,ubique,Γ ,,,,ubi,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,PRIMAM,F N ,,,,primum,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,primam(1),F Ah2 Pa Pc γ,,,,primum,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,TOTVM ... amnis,F Pc,,cf. T v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,regionem,F T v,,,,religionem,Pc ,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,ALETES,Fγ ,,,,a.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,TEVCROS . . . PARATIS,γ ,,,,t. d. p.,Γ ,,,et reliqua,F ,,,,,,,,,,,,,,,,,,,,,,,
248,,quod,Γ ,,,,quos,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,nostris,Γ ,,,,nostros,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,TENEBAT AMBORVM,F ,,,,t. a.,Γ ,,,tenebat,γ ,,,,,,,,,,,,,,,,,,,,,,,
250,,amplectebatur,F O Pa Pc γ W U ,,,,amplectabatur,A Q N [Γ ?],,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,RIGABAT,F γ ,,,,r.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,interdum,Γ ,,,,iterdum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,os,T v,,,,mos,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,motu,T v,,,,mutu,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,VESTRI,F γ ,,,,v.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,dicunt,F Γ ,,,,dicit,Pa W ,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,conscientiam,θ Pah2 Pc σ ,,,,conscientia,F τ ,,,consciam,γ ,,,,,,,,,,,,,,,,,,,,,,,
255,,ACTVTVM,Γ ,,,,Actutum pium,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,temporis,Γ ,,,,temporibus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,quique,Γ ,,,,queque,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,vos(1) ... reducto,,Thilo,hoc loco coll.,,vos(1) ... reducto,F ,,post (258) dictum est,,,,,,,,,,,,,,,,,,,,,,,,,
257,,Nise,,Verg.,,,nisi,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,o ... sola salus,,Verg.,,,a callio posse lasaluus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,cui una,,Dan.,,,cum cuna,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,EXCIPIT,F Pa Pc Pb σ ,,,,excepit,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,NISE PENATES,,Verg.,,,nisi penantes,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,vel generis,F ,,,,et generis,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,penates,,Verg.,,,penantes,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,mediisque ... extuleram,DS,Verg.,ad A. 1.378,,mediis et reliqua,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,sint,,Masv.,,,sunt,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,traditur,,Thilo,,,tradentur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,id est Terra,,Thilo,dubitanter ,,e terra,F ,,,terra,,Thilo,,,,,,,,,,,,,,,,,,,,,,
260,,per deos revocate,Γ ,,,,revocate per deos,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,parentem,F Pah2 γ ,,,,p.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,EST,Γ ,,,,d. est,U ,,(sic),om.,N ,,,id est,(=DS) F Pa Pc ,,,est id est,,Dan.,,,,,,,,,,,,,,
260,,fortuna(1),,Dan.,,,fortunam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,vestris,,Dan.,,,ius,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,me ita animatum,,Dan.,,,mei danimatum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,fidem,G ,,,,fidem esse,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,duo dicimus,,Thilo,,,xii,F ,,,dicimus,,Dan.,,,,,,,,,,,,,,,,,,,,,,
262,,RECEPTO,γ ,,,,r.,τ [Γ ],,,om.,F θ σ ,,,,,,,,,,,,,,,,,,,,,,,
263,,ARGENTO,,Verg.,,,Argenta,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,GENITOR . . . CEPIT,F γ N ,,,,g. q. c.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,ante,Γ ,,,,tante,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,data,Γ ,,,,dicta,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,successerat,Γ,,,,successit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,Achille(2),Γ ,,,,achilla,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,ferunt,,Dan.,,,fuerunt,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,Troia,G ,,,,troica,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,Astyanacti(1),,Dan.,,,astyanocti,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,sociatis,,Dan.,,,societatis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,Astyanacte,,Dan.,,,hastynacte,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,si ita,,Dan.,,,sita,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,varium,Γ ,,,,variam,F Q (?),,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,talenti,Γ ,,,,talem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,Plautum,Γ ,,,,plauta,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,dixisset,Γ ,,,,dixisse,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,libras,Fc Γ ,,,,libros,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,iocum,Γ ,,,,locum,γ σ ,,,icum o,F ,,,,,,,,,,,,,,,,,,,,,,,
265,,breve(2),F θ Pah2 Pc E cPb W ,,,,brevem,Q E N U [Γ ],,,bre,Pa ,,,,,,,,,,,,,,,,,,,,,,,
266,,hoc,,Dan.,,,hic,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,DICERE,F Pah2 Pc ,,,,ducere,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,alii(2) ... praedam,F Pah2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,deicere,Pah2 ,,,,deiere,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,sortiri,Pah2 ,,,,sortili,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,offerri,,Dan.,,,effiri,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,Dolonem,,Com.,,,dilonem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,IPSVM ... scilicet,F ,,,,illum ipsum equum scilicet,Pa Pc ,,,illam ipsum equum scilicet,Pch1,,,,,,,,,,,,,,,,,,,,,,,
271,,tua aut iam nunc,,Murgia,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,HABET … LATINVS,F γ ,,,,h. ipse l.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,Homero,θ Pa Pc γ W ,,,,homere,Q N ,,,homere n,U ,,,homoro,F ,,,,,,,,,,,,,,,,,,,
274,,temenos,F Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,honore,,,ab hoc verbo recipit J [Δ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,Ascanio,F Σ ,,,,abscanio,N ,,,scanio,Pb ,,,,,,,,,,,,,,,,,,,,,,,
276,,omni adfectu,F ∆ Pa Pc γ W ,,,,omnia defectu,Q ,,,omni ad affectum,N U ,,,,,,,,,,,,,,,,,,,,,,,
276,,amatur,,Cic.,,,amator,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,dicitur(2),,Cic.,,,datus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,et rem publicam,F Γ ,,,,et rem,∆,,,et re publica,N ,,,om.,W ,,,,,,,,,,,,,,,,,,,
279,,omne,Σ ,,,,omne et,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,cur cum,,Dan.,,,circum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,illi,,Dan.,,,ille,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,respondet,,Murgia,,,respondit,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,quia(1),,Com.,,,q;,F,,"i.e.,  que  / cf. app. ad 300 quia",,,,,,,,,,,,,,,,,,,,,,,,,
280,,quia(2),,Thilo,,,qui,F ,,,quod,,Com.,,,,,,,,,,,,,,,,,,,,,,
280,,debet,,Murgia,,,debeat,F ,,,debebat,,Thilo,mallet,,,,,,,,,,,,,,,,,,,,,
281,,ME,Γ ,,,,Ma,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,FORTIBVS AVSIS,F ,,,,f. a.,Σ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,D. A.,Σ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,ab(1),F Σ ,,,,ad,Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,inferior,F θ Γ ,,,,infertur,J ,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,comitetur,Σ ,,,,committitur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,intumescam,,Dan.,,,uttumescam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,promittere(1),F θ Γ ,,,,promitterem,J ,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,tam,F ∆,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,fortibus,Σ ,,,,fastibus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,arguerit ... aut dis-,F Σ ,,,,om.,Pc ,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,ergo,Σ ,,,,est ergo,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,meum,F ∆ Pa γ W ,,,,eum,Q N U [Γ ],,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,hoc,,Thilo,,,his,F T v,,,id,,Dan.,,his pro his,,Schoell,(v. Thilo vol. 2.v); fort. haec pro his,,,,,,,,,,,,,,,,,
284,,VETVSTA,F γ ,,,,v.,Σ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,de,F θ Γ,,,,da,J,,,om.,U ,,,,,,,,,,,,,,,,,,,,,,,
284,,eam,F ∆ Pa Pc Pb,,,,eum,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,ex,F θ Γ ,,,,et,J ,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,cognatione,F Ah2 Γ ,,,,cognationem,W ,,,cogitatione,∆Q ,,,,,,,,,,,,,,,,,,,,,,,
284,,Ascanius,F ∆ º ,,,,ascarius,Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,diligit,F Σ ,,,,diligebat,γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,comitatus,F Σ ,,,,comitat¯<¯ABOVEt>,J ,,(=comitater),,,,,,,,,,,,,,,,,,,,,,,,,
286,,iter,Σ ,,,,. i.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,enim,F Σ ,,,,eum,γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,causa,∆ Pah2 Pc γ ,,,,causam,F Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,ignaram,,Dan.,,,agnaram,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,EST,F Σ ,,,,om.,N U,codd. MPR Vergilii,,om.,Γ,,(ad A. 9.61),,,,,,,,,,,,,,,,,,,,,
287,,periclum,F Σ ,,,,est periclum,N U ,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,LINQVO,F Γ ,,,,om.,∆,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,tmesis,N ,,,,temesis,Pa Wh2 γ ,,,omessis,F ,,,imesis,J [∆],,,mesis,θ W ,,,mensis,Q [Γ ],,,,,,,,,,,
289,,LACRIMAS,F γ ,,,,l.,Σ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,P. P.,Σ ,,,,om.,F ,,,praeferre p.,γ ,,,,,,,,,,,,,,,,,,,,,,,
289,,ne,F ∆ º ,,,,om.,Q ,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,talia,Pah2 Q γ [Γ ],,,,alia,F ∆ Pa Pc N U ,,,At tu solare,W ,,,,,,,,,,,,,,,,,,,,,,,
291,,AVDENTIOR,,Verg.,,,Audientior,F ,cod. a Vergilii,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,figuratum,,Murgia,,,futura cum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,in Heauton Timorumeno,,Dan.,,,hae auton timerume non,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,natu,,codd. Ter.,,,nata,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,ignoscentior,,Ter.,,,ignoscentur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,OMNES,F θ Γ ,,,,omnem,J ,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,aut,F θ Γ ,,,,ut,J ,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,cadat,F Pah2 ,,,,c.,Σ ,,,om.,γ σ ,,,,,,,,,,,,,,,,,,,,,,,
293,,PVLCHER ... religionis,F θ Γ ,,,,om.,J [∆],,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,STRINXIT,F θ Γ ,,,,EXTRINXIT,J [∆],,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,PIETATIS IMAGO,F γ ,,,,p. i.,Σ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,praestrinxit momordit,Σ ,,,,momordit perstrinxit,F ,,,perstrinxit momordit,σ ,,,perstrincxit momordit,σ,,,praestinxit momordit,Q ,,,,,,,,,,,,,,,
294,,paternae,Σ ,,,,paternam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,in pietatem,Γ ,,,,in piaetem,Q ,,,in pietate,F ,,,pietate,∆W U ,,,,,,,,,,,,,,,,,,,
294,,eius,Σ ,,,,ei,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,consuerat,J Q [Σ ],,,,consueverat,F θ º,,(cf. app. ad 300),,,,,,,,,,,,,,,,,,,,,,,,,
298,,PARVA MANET,F γ ,,,,p. m.,Σ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,ab omnibus,F Σ ,,,,hominibus,N U ,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,a te,,Com.,,,ante,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,QVICVMQVE,F ∆ Pc γ σ ,,,,qui talecumque,τ [Γ ],,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,SEQVETVR,F ∆ Pa Pc γ Wh2 U ,cod. P Vergilii,,,sequitur,Q W [Γ ],,,sequentur,,codd. MR Vergilii,,sequentum,N ,,,,,,,,,,,,,,,,,,,
299,,congrue,Σ ,,,,conguae,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
