Verse,Line,Lemma,Witness,Source,Ed. Comment,Gen. Comment,Second R.,Witness,Source,Comment,Third R.,Witness,Source,Comment,Fourth R.,Witness,Source,Comment,Fifth R.,Witness,Source,Comment,,,,,,,,,,,,,
61,,parte,F Γ ,,,,parte transacta,Darmst.h2 Eh3 X,,"(sed dicit Servius NOCTE SVPER MEDIA ‘per maiorem noctis partem’ significare, ablativo autem temporis, ut solet, pro accusativo usus est)",,,,,,,,,,,,,,,,,,,,,,,,,
61,,bona elocution facta,Γ ,,,,bonae loctio facta,F,,[sic],facta elocutio,W ,,,elocutio,Q ,,,,,,,,,,,,,,,,,,,
61,,media(2),F θ Pa Pc W ,,,,mediam,Q γ N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,nulla,Γ ,,,,nullam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,mutet,Γ ,,,,mittet,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,nunc,Γ ,,,,trino,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,pericli est,F ,codd. Mh2 acehtuv Vergilii,Serv. ad A. 9.287,,pericli,Γ,codd. MPR Vergilii,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,ira improbus,,Dan.,,,iram probus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,fantasiam saevitiae,Γ ,,,,fanta sinans aevitiae,F ,,,fantasia nostrae vitiae,Q ,,,,,,,,,,,,,,,,,,,,,,,
63,,qua,Γ ,,,,quia,F γ W ,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,solent,Γ ,,,,solet,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,qua(2),F Γ ,,,,quia,Pa N ,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,via(2),F σ ,,,,viam,θ Q [Γ ],,,viae,Ah2 Pa Pc γ ,,,,,,,,,,,,,,,,,,,,,,,
67,,excutiat,Γ ,,,,extiat,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,EFFVNDAT,,Verg.,,,Effudat,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,AEQVVM,F ,codd. FMRa Vergilii,,,aequor,Ph1 ω,Vergilii,cf. Non.,,,,,,,,,,,,,,,,,,,,,,,,,
68,,in campum,F,,,,campum,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,SOCIOSQVE … OVANTES,,Verg.,,,socios et reliqua,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,sequuntur,,Dan.,,,sequitur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,PVBES,,Verg.,,,que,F Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,accingitur(2),,Dan.,,,accigitur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,dativus,,Dan.,,,dauus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,armatur instruitur,Γ ,,,,armatur instruitur armatur instruitur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,foci,,Dan.,,,faci,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,FERT FVMIDA,F N ,,,,f. f.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,in taedis,F Pa Pc ,,,,taedis,Γ ,,,ex taedis,γ ,,,,,,,,,,,,,,,,,,,,,,,
77,,est et,Γ ,,,,est,F Ah2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,sit,,Dan.,,,si,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,ab Teucris,F ,,,,a teucris,T ,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,FACTO,F θ Pa Pb Y N,,,,fact.,Pc Q Ec W [Γ ],,,facit,E ,,,,,,,,,,,,,,,,,,,,,,,
79,,s. f. p.,Γ ,,,,om.,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,posteros,Γ ,,,,postera,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,hoc enim,Γ,,,,ergo hoch,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,temporis,Γ ,,,,temporum,F ,,,temporibus,N ,,,,,,,,,,,,,,,,,,,,,,,
79,,enim rei,,Dan.,,,enim ei,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,cuius,F ,,,,cuius se,, Thilo,dubitanter,,,,,,,,,,,,,,,,,,,,,,,,,
79,,iam,,Dan.,,,tam,F ,,,om.,T v,,,,,,,,,,,,,,,,,,,,,,,
79,,hoc est,F ,,,,id est,T ,,,et,v,,,,,,,,,,,,,,,,,,,,,,,
79,,ad huc tamen fama,F ,,,,fama tamen ad huc,v,,,sed adhuc fama,T ,,,,,,,,,,,,,,,,,,,,,,,
79,,ἀξιοπιστία,F ,,,,axiopistia,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,in(1),Γ ,,,,om.,F σ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,factae(1),Γ ,,,,factie,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,enim(2),Γ ,,,,enim naues,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,in Ida ... sunt,Γ,,,,hoc loco om. (mg. dex.) ,F,,sed post Aenea mg. sin. habet,,,,,,,,,,,,,,,,,,,,,,,,,
80,,factae(2),Γ ,,,,fate,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,nostrae,,Verg.,,,nostra,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,quod(1),F,,fort. quod <id>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
