Book, Verse , Lemma                                                                                                                                 , Witness                        , Source                         , Ed. Comment                                                                                                                , Gen. Comment , Second R.                                                                   , Witness                           , Source                          , Comment                                                                                                                                       , Third R.                        , Witness          , Source           , Comment                             , Fourth R.          , Witness     , Source , Comment                    , Fifth R.              , Witness , Source  , Comment                                                                                                                                           , Fifth R. , Witness     , Source        , Comment , Sixth R. , Witness , Source , Comment , Seventh R.  , Witness , Source , Comment                                                           
9,6," divvm promittere nemo ‘nemo’ pro ‘nullus’ posuit. et est acyrologia. nam ‘divum nemo’ non possumus dicere, cum proprie ‘nemo’ sit ‘ne ", **F Γ **                       ,,,, cum                                                                         , *N *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6, ne                                                                                                                                    , **F** *Pc W *                  ," *Charis., Fest., Isid.*        ",,, nec                                                                         , **Γ **                            ,,, *loc. om.*                      , *N *             ,,,,,,,,,,,,,,,,,,,,,,
9,7, quae                                                                                                                                  , **F Γ **                       ,,,, qui                                                                         , *Q *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8, defensore                                                                                                                             , *F *                           ,, *ex* defensone                                                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8, quae est                                                                                                                              , *F *                           ,,,, de qua                                                                      , *Bod.*                            ,, *cf. Serv. ad A. 1.5*                                                                                                                         ,,,,,,,,,,,,,,,,,,,,,,,,
9,8, in septimo                                                                                                                            , *Bod.*                         ,,,, tutam                                                                       , *F *                              ,, *sed prim.* t fort. *in ras.*                                                                                                                 ,,,,,,,,,,,,,,,,,,,,,,,,
9,8, ipse                                                                                                                                  , *F *                           ,,,, commemorat ipse                                                             , *Bod.*                            ,, *fort.* ait ipse (de qua *pro* quae est *legens*)                                                                                             ,,,,,,,,,,,,,,,,,,,,,,,,
9,8, Castrum                                                                                                                               ,, *Com.*                         ,,, castrim                                                                     , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8, dici                                                                                                                                  , *F *                           ,,,, deci                                                                        , *F<sup>c</sup>*                   ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10, SATIS                                                                                                                                 , **Γ **                         ,,,, sati                                                                        , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10, in                                                                                                                                    , *F *                           ,,,, *om.*                                                                       ,, *Dan.*                          ,,,,,,,,,,,,,,,,,,,,,,,,,
